date,customer_id,product_category,quantity,price
2026-05-01,CUST-1001,Electronics,1,1200.00
2026-05-01,CUST-1002,Clothing,3,45.50
2026-05-02,CUST-1003,Home & Kitchen,2,150.00
2026-05-02,CUST-1001,Electronics,1,299.99
2026-05-03,CUST-1004,Books,5,12.25
2026-05-03,CUST-1005,Beauty,1,85.00
2026-05-04,CUST-1002,Clothing,2,60.00
2026-05-04,CUST-1006,Sports,1,210.00
2026-05-05,CUST-1003,Home & Kitchen,4,25.30
2026-05-05,CUST-1007,Electronics,1,550.00
2026-05-06,CUST-1049,Beauty,4,87.92
2026-05-06,CUST-1161,Electronics,4,893.25
2026-05-06,CUST-1192,Home & Kitchen,5,10.91
2026-05-06,CUST-1077,Sports,4,199.61
2026-05-06,CUST-1058,Clothing,2,112.34
2026-05-06,CUST-1064,Books,5,30.90
2026-05-06,CUST-1059,Beauty,1,81.67
2026-05-06,CUST-1172,Books,1,19.07
2026-05-06,CUST-1147,Electronics,4,919.18
2026-05-07,CUST-1155,Sports,4,439.72
2026-05-07,CUST-1150,Books,2,9.36
2026-05-07,CUST-1007,Electronics,3,399.85
2026-05-07,CUST-1044,Beauty,2,108.97
2026-05-07,CUST-1155,Beauty,3,117.42
2026-05-07,CUST-1182,Beauty,5,98.04
2026-05-07,CUST-1061,Beauty,5,109.73
2026-05-08,CUST-1127,Home & Kitchen,4,296.44
2026-05-08,CUST-1029,Beauty,5,94.65
2026-05-08,CUST-1032,Home & Kitchen,2,58.47
2026-05-08,CUST-1158,Beauty,4,15.45
2026-05-08,CUST-1022,Books,3,19.11
2026-05-09,CUST-1121,Clothing,4,136.77
2026-05-09,CUST-1068,Electronics,4,1030.12
2026-05-09,CUST-1008,Books,4,14.19
2026-05-09,CUST-1077,Books,5,31.09
2026-05-09,CUST-1013,Electronics,5,1050.20
2026-05-09,CUST-1199,Clothing,1,28.41
2026-05-09,CUST-1097,Sports,3,137.42
2026-05-09,CUST-1083,Sports,3,287.84
2026-05-10,CUST-1130,Sports,1,247.94
2026-05-10,CUST-1088,Electronics,2,1477.99
2026-05-10,CUST-1200,Electronics,4,190.25
2026-05-10,CUST-1019,Electronics,2,717.45
2026-05-10,CUST-1123,Home & Kitchen,1,20.39
2026-05-10,CUST-1020,Clothing,2,34.18
2026-05-10,CUST-1113,Sports,2,302.56
2026-05-10,CUST-1104,Clothing,5,149.56
2026-05-10,CUST-1019,Books,5,26.37
2026-05-11,CUST-1009,Home & Kitchen,2,45.92
2026-05-11,CUST-1050,Beauty,2,79.86
2026-05-11,CUST-1087,Books,3,27.77
2026-05-11,CUST-1149,Books,5,45.29
2026-05-11,CUST-1064,Clothing,1,122.12
2026-05-11,CUST-1018,Beauty,3,12.19
2026-05-11,CUST-1126,Home & Kitchen,4,18.66
2026-05-11,CUST-1176,Electronics,2,515.45
2026-05-11,CUST-1057,Electronics,5,458.36
2026-05-12,CUST-1012,Home & Kitchen,3,267.60
2026-05-12,CUST-1087,Sports,4,303.54
2026-05-12,CUST-1020,Sports,4,139.05
2026-05-12,CUST-1049,Sports,3,375.88
2026-05-12,CUST-1168,Clothing,3,124.57
2026-05-12,CUST-1152,Electronics,2,1105.73
2026-05-12,CUST-1097,Beauty,5,33.00
2026-05-12,CUST-1140,Sports,3,400.27
2026-05-12,CUST-1153,Electronics,1,721.32
2026-05-12,CUST-1177,Electronics,4,1477.49
2026-05-12,CUST-1020,Electronics,2,1113.98
2026-05-12,CUST-1197,Sports,1,376.98
2026-05-13,CUST-1061,Clothing,4,37.82
2026-05-13,CUST-1132,Sports,1,42.58
2026-05-13,CUST-1143,Electronics,2,654.15
2026-05-13,CUST-1081,Sports,2,443.14
2026-05-13,CUST-1111,Electronics,5,250.46
2026-05-13,CUST-1006,Electronics,2,1084.93
2026-05-13,CUST-1185,Sports,5,237.60
2026-05-13,CUST-1174,Home & Kitchen,3,93.95
2026-05-14,CUST-1061,Beauty,5,21.49
2026-05-14,CUST-1060,Beauty,3,113.26
2026-05-14,CUST-1097,Clothing,4,51.43
2026-05-14,CUST-1147,Sports,1,363.97
2026-05-14,CUST-1125,Sports,5,82.72
